(vscode) D:\Code\Github\Other\Python\DBN手写数字识别>python src\model\train.py --layers 784,1000,500,250 --pretrain_epochs 50 --pretrain_lr 0.01 --epochs 100 --lr 0.001 --batch_size 256
Using bundled font for Chinese labels: Microsoft YaHei
Stage: Loading MNIST dataset...
Stage: Initializing DBN with layer sizes: [784, 1000, 500, 250]
Stage: Pretraining RBMs...
Pretraining RBM 0: 784->1000
 RBM 0 epoch 1/50 loss=0.154902
 RBM 0 epoch 2/50 loss=0.124918
 RBM 0 epoch 3/50 loss=0.106284
 RBM 0 epoch 4/50 loss=0.097204
 RBM 0 epoch 5/50 loss=0.090866
 RBM 0 epoch 6/50 loss=0.085810
 RBM 0 epoch 7/50 loss=0.081683
 RBM 0 epoch 8/50 loss=0.078285
 RBM 0 epoch 9/50 loss=0.075366
 RBM 0 epoch 10/50 loss=0.072848
 RBM 0 epoch 11/50 loss=0.070678
 RBM 0 epoch 12/50 loss=0.068763
 RBM 0 epoch 13/50 loss=0.067030
 RBM 0 epoch 14/50 loss=0.065570
 RBM 0 epoch 15/50 loss=0.064186
 RBM 0 epoch 16/50 loss=0.062881
 RBM 0 epoch 17/50 loss=0.061754
 RBM 0 epoch 18/50 loss=0.060718
 RBM 0 epoch 19/50 loss=0.059722
 RBM 0 epoch 20/50 loss=0.058857
 RBM 0 epoch 21/50 loss=0.058010
 RBM 0 epoch 22/50 loss=0.057299
 RBM 0 epoch 23/50 loss=0.056562
 RBM 0 epoch 24/50 loss=0.055916
 RBM 0 epoch 25/50 loss=0.055308
 RBM 0 epoch 26/50 loss=0.054724
 RBM 0 epoch 27/50 loss=0.054191
 RBM 0 epoch 28/50 loss=0.053709
 RBM 0 epoch 29/50 loss=0.053210
 RBM 0 epoch 30/50 loss=0.052778
 RBM 0 epoch 31/50 loss=0.052328
 RBM 0 epoch 32/50 loss=0.051899
 RBM 0 epoch 33/50 loss=0.051529
 RBM 0 epoch 34/50 loss=0.051116
 RBM 0 epoch 35/50 loss=0.050749
 RBM 0 epoch 36/50 loss=0.050461
 RBM 0 epoch 37/50 loss=0.050102
 RBM 0 epoch 38/50 loss=0.049805
 RBM 0 epoch 39/50 loss=0.049515
 RBM 0 epoch 40/50 loss=0.049274
 RBM 0 epoch 41/50 loss=0.048952
 RBM 0 epoch 42/50 loss=0.048710
 RBM 0 epoch 43/50 loss=0.048455
 RBM 0 epoch 44/50 loss=0.048243
 RBM 0 epoch 45/50 loss=0.047946
 RBM 0 epoch 46/50 loss=0.047772
 RBM 0 epoch 47/50 loss=0.047523
 RBM 0 epoch 48/50 loss=0.047351
 RBM 0 epoch 49/50 loss=0.047114
 RBM 0 epoch 50/50 loss=0.046919
Pretraining RBM 1: 1000->500
 RBM 1 epoch 1/50 loss=0.237385
 RBM 1 epoch 2/50 loss=0.205725
 RBM 1 epoch 3/50 loss=0.188280
 RBM 1 epoch 4/50 loss=0.179580
 RBM 1 epoch 5/50 loss=0.173494
 RBM 1 epoch 6/50 loss=0.168699
 RBM 1 epoch 7/50 loss=0.164871
